digression	kb. penyimpangan.
disqualify	kkt. (disqualified) membatalkan. to d. s.o. for membatalkan seseorang buat
disquiet	kb. keadaan tidak tenang, kegelisahan.
disquieting	ks. yang bersifat menggangu, menggelisahkan. d. rumors desas-desus yang mengganggu.
disregard	kb. sikap acuh tak acuh. -kkt. 1 tidak memperdulikan, tidak menghiraukan. 2 mengabaikan, mengenyampingkan.
disrepair	kb. keruntuhan, rusak. the house is in d. rumah itu rusak.
disreputable	ks. 1 jelek. d. looking car mobil yang jelek. 2 bernama buruk. d. bar bar (warung) yang namanya tidak baik.
disrepute	kb. keburukan. to hold in d. mengganggap hina/buruk, tidak menghormati.
disrespect	kb. ketiadaan respek, sikap tidak sopan/hormat.
disrespectful	ks. kasar, kurang ajar, tidak sopan. he's d. to his father ia tak menghormati ayahnya.
disrobe	kkt., kki. membuka/menanggalkan pakaian.
disrupt	kkt. mengacaukan, mengganggu.
disruption	kb. gangguan, kekacauan. d. of power service gangguan tenaga listrik.
disruptive	ks. yang mengacaukan, yang mengganggu, yang memecahbelah. d. influence pengaruh yang mengacaukan.
dissatisfaction	kb. ketidakpuasan.
dissatisfied	ks. tidak puas (with dengan).
dissect	kkt. membedah, memotong.
dissection	kb. pemotongan, pembedahan.
dissemble	kkt. menyembunyikan.
disseminate	kkt. 1 menyebarkan (information). 2 menebarkan, menaburkan (seed).
dissemination	kb. 1 penyebaran (of information). 2 penebaran, pertebaran, penaburan (of seed).
dissension	kb. pertikaian, perselisihan.
dissent	kb. perbedaan pendapat, ketidaksepakatan. -kki. tidak setuju, menolak.
dissenter	kb. orang ingkar.
dissertation	kb. disertasi.
disservice	kb. perbuatan yang merugikan. one who overpraises performs a d. orang yang terlalu memuji, merugikan orang.
dissident	kb. orang yang tak sepakat/setuju. -ks. yang tak sepakat/setuju. several d. voices beberapa suara-suara yang tak sepakat.
dissimilar	ks. tidak sama, tidak cocok, berbeda.
dissimulate	kkt. berpura-pura, sok, menyembunyikan.
dissimulation	kb. penipuan, pura-pura, sok.
dissipate	kkt. menghamburkan. -kki. 1 menghilang. 2 merisau, berfoya-foya. -dissipated ks. yang merisau, tidak teratur/senonoh.
dissipation	kb. 1 menghilangnya. d. of the fog menghilangnya kabut. 2 pemborosan. d. of energy pemborosan tenaga.
dissociate	kkt. memisahkan, menjauhkan. to d. o.s. from memisahkan diri dari.
dissociation	kb. 1 disosiasi. 2 peruraian. 3 pemisahan diri.
dissolable	ks. bisa menjadi cair, bisa larut. sugar is d. in water gula dapat menjadi cair dalam air.
dissolute	ks. risau, jangak.
dissolution	kb. 1 pembubaran (of a firm, government). 2 terputusnya. d. of a marriage terputusnya pernikahan.
dissolve	kkt. 1 membubarkan. to d. a partnership membubarkan persekutuan. 2 melarutkan. d. a cup of sugar in water larutkan satu cangkir gula dalam air. -kki. larut. the sugar dissolved gula itu larut.
dissonance	kb. 1 ketidakcocokan, ketidaksesuaian. 2 hiruk pikuk (of auto horn). 3 mus.: kejanggalan bunyi.
dissonant	ks. tidak cocok/sesuai. d. music musik yang tidak harmonis.
dissuade	kkt. meminta supaya jangan mengerjakan sesuatu.
dissyllabic	= disyllabic.
dist.	(district) daerah, distrik.
distaff	kb. keluarga dari pihak ibu. we are related on d. side kami ada hubungan keluarga dari pihak ibu.
distance	kb. 1 jarak. 2 kejauhan. in the d. di kejauhan disana. to keep at a d. menjauhkan, menjauhi. to keep o's d. tidak terlalu ramah dengan, menjauhi.
distant	ks. 1 jauh. 2 tidak ramah. -distantly kk. terpencil, renggang, jauh terpisah. d. related berhubungan renggang, bersanak jauh, berfamili jauh.
distaste	kb. kebencian, rasa tidak suka. to have a d. for tidak suka pada.
distasteful	distasteful
distemper	kb. penyakit pada binatang.
distend	kkt. melembungkan. -kki. menggelembung, gembung. his abdomen was distended perutnya menggelembung.
distill	kkt. 1 menyuling, menyaring. to d. water menyuling air. 2 menyaring. to d. the truth from the hearsay menyaring mana yang benar mana yang omong kosong dari apa yang dikatakan orang. -distilled ks yang disuling. d. water air suling(an).
distillate	kb. hasil sulingan atau saringan, sulingan.
distillation	kb. penyulingan, distilasi.
distiller	kb. penyuling. 2 penyulingan.
distillery	kb. (j. -ries) 1 tempat penyulingan. 2 perusahaan penyulingan. whiskey d. perusahaan penyulingan wiski.
distinct	ks. 1 terang, jelas. 2 nyata. 3 berbeda. to keep s.t. d. membedakan sesuatu. -distinctly kk. dengan jelas.
distinction	kb. 1 perbedaan. 2 hormat. 3 jasa. 4 tanda kehormatan, medali.
distinctive	ks. 1 khusus. d. manner of dress cara berpakaian khusus. 2 tersendiri. d. sound bunyi yang tersendiri.
distinguish	kkt. 1 membedakan. 2 membeda - bedakan, melihat dengan jelas. -kki. to d. between membedakan antara. -distinguished ks. terhormat,terkenal, terkemuka, masyur. -distinguishing ks. yang membedakan, istimewa, khusus.
distinguishable	ks. dapat di (per)bedakan.
distort	kkt. mengubah. -distorted ks. berubah (bentuk), menyimpang.
distortion	kb. 1 distorsi. d. -free viewing penglihatan yang bebas dari distorsi. 2 penyimpangan, pemutar-balikan. d. of the facts penyimpangan dari kenyataan-kenyataan.
distowel	kb. lap piring.
distract	kkt. 1 mengalihkan. 2 menggangu, membingungkan. -distracted ks. bingung, kacau pikiran. -distracting ks. mengacaukan pikiran, membingungkan.
distraction	kb. 1 selingan. pleasant d. selingan yang menyenangkan. 2 gangguan, kebingungan. to drive s.o. to d. menyebabkan seseorang bingung.
distraught	ks. bingung sekali, putus asa. to be d. over bingung sekali, ketakutan karena.
distress	kb. keadaan yang sukar/berbahaya, kesukaran. -kkt. menyusahkan. -distressed ks. menderita. -distressing ks. menyedihkan, menyusahkan.
distribute	kkt. 1 membagikan. 2 menyalurkan (commercial products). 3 menyebarkan, mengedarkan (leaflets). 4 mendistribusikan, membagikan. 5 mengageni (cars).
distribution	kb. 1 penyaluran. d. of rice penyaluran beras. 2 distribusi, pembagian (of prizes, wealth, candy).
distributor	kb. 1 penyalur (of rice, cloth). 2 pengecer. car d. pengecer mobil. 3 auto.: pembagi arus, distributor, delko.
distributorship	kb. 1 usaha atau daerah pengecer (of cars, refrigerators). 2 (agency) perwakilan, peragenan (sebagai penyalur).
district	kb. 1 daerah (pemerintahan), daswati. 2 distrik. d. attorney jaksa wilayah. d. court pengadilan wilayah. d. judge ketua/hakim mahkamah daerah. d. manager pemimpin wilayah.
distrust	kb. rasa tidak percaya, ketidak percayaan. -kkt. tidak percaya. i d. him saya curiga kepadanya.
