superlative	kb. gram.: bentuk superlatif. to talk in superlatives bicara berlebih-lebihan. -ks. terbaik, unggul sekali. s. voice suara yang sangat baik.
superman	kb. (j. -men) manusia unggul.
supermarket	kb. toko pangan serba-ada, maha-pasar.
supernatural	kb. the s. hal-hal yang gaib. -ks. gaib.
supernumerary	kb. (j. -ries) 1 seorang yang dijadikan cadangan. 2 seorang pemain figuran/ekstra.
superscript	kb. huruf atau angka yang ditulis di atas.
supersecret	ks. sangat/amat rahasia.
supersede	kkt. menggantikan.
supersonic	ks. supersonik.
superstition	kb. takhyul, ketakhyulan.
superstitious	ks. bertakhyul.
superstructure	kb. bangunan bagian atas.
supervise	kkt. mengawasi.
supervision	kb. pengawasan. to keep s.o. under strict s. mengawasi seseorang dengan keras.
supervisor	kb. 1pengawas. 2 pengamat. school s. guru pengamat.
supervisory	ks. dalam kedudukan sebagai pengawas. to be employed iin a s. capacity bekerja dalam kedudukan sebagai pengawas.
supine	ks. telentang. in a s. position dalam keadaan telentang.
suplicant	kb. pemohon.
supper	kb. makan malam.
suppertime	kb. waktu makan malam.
suppl.	[supplement] lampiran, tambahan, suplemen.
supplant	kkt. menggantikan.
supple	ks. 1 gemulai, lemas (of a body). 2 supel, fleksibel, luwes (of mind).
supplement	kb. lampiran, tambahan, suplemen. -kkt. menambah (o's income).
supplemental	ks. tambahan. s. budget anggaran tambahan.
supplementary	ks. tambahan. s. income penghasilan tambahan. s. angle sudut pelurus.
suppleness	kb. kelemah-lembutan.
suppletion	kb. gram.: pelengkap.
suppliant	kb. pemohon.
supplicate	kkt. memohonkan.
supplication	kb. permohonan.
supplied	lih supply.
supplier	kb. leveransir.
supplies	lih supply.
supply	kb. (j. -lies) 1 persediaan. 2 perbekalan. -kkt. (supplied) 1 menyediakan. 2 memenuhi. 3 memberikan, menyampaikan (information) (to kepada).
support	kb. 1 sokongan. 2 bantuan. 3 cagak, tiang. 4 sandaran. 5 bantalan/sandaran (for the back). 5 penyokong. -supporting ks. yang menyangga. s. wall dinding penyangga yang membantu.
supporter	kb. penyokong, pendukung.
suppose	kkt. 1 mengira. 2 andaikata, andaikan. 3 mengharuskan. -supposed ks. disangka benar. -supposedly kk. menurut dugaan . -supposing ksam. seandainya, sekiranya.
supposition	kb. 1 perkiraan, anggapan. basic s. anggapan pokok. 2 pengandaian.
suppository	kb. (j. -ries) suppositoria, obat rangsang (supaya buang air) yang dimasukkan kedalam dubur.
