nira	sap obtained by tapping inflorescences of various palms used to make sugar.
nirair	anhydrous.
nirakal	insensible.
nirarti	meaningless.
nirasa	apathy.
nirbangun	amorphous.
nirbau	odorless.
nirbhaya	without danger.
nirgelar	nondegree.
nirhawa	without air.
nirlaras	disharmonious.
nirleka	prehistoric.
nirmala	clean, pure.
nirmana	mode.
niru	1. see tiru. 2. see nyiru.
nirwana	nirvana.
nirwarna	colorless.
nisan	gravestone.
nisbah	1 family name, name descriptive of origin or relationship. 2 (fin.) ratio.
nisbi	/nisbiah/ relative, proportionate.
niscaya	certainly, surely.
niskala	abstract, immaterial.
nista	1 insult, abuse. 2 stigma. 3 insulted, humiliated.
nitis	1 ( java) become incarnate. 2 (coll.) descend into o.'s offspring (of traits, etc.)
nitrat	(chem.) nitrate.
niugini	see papua nugini.
nivo	the level of s.t.
niyaga	/niyogo/ (java) performers in gamelan orchestra.
njelirit	(java) form a thin line, like a thin line.
njlimet	see jelimet.
nkk	[normalisasi kehidupan kampus] a gvt. measure to reduce student militancy in late 1970's.
nn.	[nona] miss.
no	(china, jakarta) two, in commercial transactions. no-ban 20,000. no-cap twenty. no-ceng 2,000.
noban	see no.
nobat	royal drum used at installation ceremonies.
nocap,noceng	see no.
noda	1 stain, spot of dirt. 2 shame, disgrace.
nodul	/nodule/ (med.) nodule.
nojos	(jakarta) perforate, pierce.
nok	see denok.
noktah	1 dot, poiunt. 2 period (of punctuation)
nol	nought, zero.
nomade	/nomaden/ nomad, nomadic.
nombor	see nomer.
nomenklatur	nomenclature.
nomer	1 number. 2 issue (of a periodical). 3 number in a musical show.
nominal	nominal (in statistics, research, mathematics).
nomor	see nomer.
nompang	see tumpang.
nomplok	(coll.) be s.w. in large quantities.
non	1. (pol.) noncooperative. 2. nun. 3. see noni.
non-aliansi	nonalliance.
non-eksakta	(acad.) pertaining to humanities and social sciences rather than exact sciences
non-formal	/non-formil/ 1 outside the regular system, irregular. 2 (coll.) informal.
nona	1 miss, unmarried european, china, or westernized well-to-do indonesian girl in western dress. 2 term of address for such women. 3 (ambon) unmarried woman.
nonaktif	inactive, laid-off.
none	(jakarta) see nona.
nongkrong	1 (coll.) squat. 2 (coll.) sit around doing nothing , hang out. 3 idle, not in use.
nongol	(jakarta) stick the head out, appear, be conspicious.
noni	/nonik/ (coll.) 1 young girl, esp. european or in european clothes. 2 affectionate term of address for such a girl, esp as nik or non.
