glamorous	ks. sangat menarik dan mempesonakan.
governor	kb. 1 gubernur. g. general gubernur jenderal. 2 (alat) pengatur (on an engine).
governorship	kb. jabatan gubernur.
govt., govt.	[government] pemerintah(an).
gown	kb. 1 pakaian wanita. 2 gaun. 3 (academic, judicial, religious) jubah. 4 baju panjang.
gpo,  g.p.o.	[government printing office] kantor percetakan negara.
gr.	[greek] yunani.
gr. brit.	[great britain] britannia raya.
grab	kb., j. sl.: up for grabs (sudah) tersedia, tinggal (meng)ambil. -kkt. (grabbed) 1 merebut, menjambret, menyerobot. 2 menangkap. 3 mengambil. g. bag karung undian.
grace	kb. 1 gaya lemah gemulai, keanggunan, keapikan. 2 (perpanjangan) waktu, waktu kelonggaran 3 doa kecil (sebelum makan). -kkt. 1 menghormati. 2 menyemarakkan.
graceful	ks. lemah-gemulai, anggun.
gracious	ks. sangat ramah. she's a g. hostess ia nyonya rumah yang sangat ramah. -kseru. g., what's happened ? astaga, ada apa ? good g., no ! ya allah, tidak/jangan !
graciousness	kb. keluwesan, keanggunan.
grad	kb. inf.: tamatan, lulusan. = graduate.
gradation	kb. gradasi. the range of g. is wide jarak gradasi itu besar.
grade	kb. 1 (mark) angka. 2 kelas. 3 kelas, kwalitas. 4 tanjakan. -the grades j. sekolah dasar. -kkt. 1 memberi angka (papers). 2 memeriksa. 3 menggolong-golongkan. 4 meratakan. grade- a ks. yang bermutu tinggi.
grader	kb. 1 penilai, pemberi angka. (of papers). 2 murid. a fifth g. murid kelas lima.
gradient	kb. tinggi/curam tanjakan, lereng.
gradual	ks. berangsur-angsur, sedikit demi sedikit, setahap demi setahap. -gradually kk. secara berangsur-angsur. her health is g. improving kesehatannya berangsur-angsur pulih.
graduate	kb., ks. tamatan, lulusan. -kki. tamat sekolah. to g. from mendapat gelar (sarjana muda dsb) dari. g. studies pelajaran tingkat sarjana. -graduated ks. yang dibagi dalam kelas-kelas. g. flask botol yang memakai tanda ukuran.
graduation	kb. 1 tamat sekolah. 2 upacara tamat sekolah. g. day (university or college) hari sarjana/wisuda.
graft	kb. 1 sogok- menyogok, korupsi, permainan sogok. 2 med.: pemindahan (kulit). -kkt. mengenten, mencabangkan. -grafting kb. okulasi, cangkokan.
grafter	kb. koruptor, pencoleng.
graham	g. cracker biskit yang seluruhnya terbuat dari tepung terigu.
grain	kb. 1 butir padi, buah/biji padi-padian. 2 urat/kembang kayu (in wood). 3 kesatuan berat di inggris. -graining kb. urat/kembang kayu.
gram	kb. gram.
grammar	kb. 1 tatabahasa. 2 buku tatabahasa. g. school sekolah dasar/rendah/rakyat.
grammarian	kb. ahli tatabahasa.
grammatical	ks. dari atau berhubungan dengan tatabahasa. -grammatically kk. dipandang dari sudut tatabahasa. it's g. correct tatabahasanya benar.
gramophone	kb. gramopon, peti bicara/nyanyi, rekor-cenjer.
granary	kb. (j. -ries) lumbung.
grand	kb. sl.: seribu dolar. -ks. 1 agung. 2 menyenangkan. 3 inf.: hebat. g. prize hadiah pertama. g. duke adipati. g. jury dewan juri. g. larceny pencurian besar-besaran. g. old party partai republik(en) di as. g. opera opera yang bersifat drama.
grandchild	kb. cucu.
granddad(dy)	kb. (j. -dies) kakek.
granddaughter	kb. cucu perempuan.
grandeur	kb. kemuliaan, kebesaran, kehebatan, keagungan.
grandfather	kb. kakek, embah/eyang lelaki. g. clock jam besar yang berdiri.
grandiloquent	ks. penuh dengan kata yang muluk-muluk/melangit.
grandma	kb. inf.: nenek, embah/eyang perempuan.
grandmother	kb. nenek, (e)mbah eyang perempuan.
grandnephew	kb. cucu lelaki.
grandniece	kb. cucu perempuan.
grandpa	kb. inf.: kakek, embah/eyang lelaki.
grandparent	kb. eyang, embah.
grandson	kb. cucu lelaki.
granite	kb. granit, batu besi.
granny	kb. (j. -nies) inf.: nenek.
grant	kb. dana/uang bantuan. -kkt. 1 mengabulkan (a request). 2 memberi (a charter). 3 mengakui. 4 tanggung. grant-in-aid bantuan uang. -granted boleh, silakan. to take for granted 1 diterima selaku benar. 2 menganggap pasti. granting that sungguhpun.
grantee	kb. penerima beasiswa, siswa tugas belajar.
granular	ks. terjadi dari atau berisi butir-butiran yang kecil.
granulated	ks. berbentuk butir-butiran. g. sugar gula pasir.
granule	kb. biji, butir.
grape	kb. buah anggur.
grapefruit	kb. semacam jeruk yang besar.
grapevine	kb. tanaman anggur. inf.: to hear via the g. mendengar melalui selentingan.
graph	kb. grafik(a). g. paper kertas grafik.
graphic	ks. 1 jelas seperti keadaan yang sebenarnya. g. description uraian/penuturan yang jelas sekali. 2 yang berhubungan dengan grafik. 3 yang berhubungan dengan tulisan tangan.
graphite	kb. grafit.
graphology	kb. ilmu tulisan tangan.
