reben	o.-way glass.
riwan	(sunda) dream of no significance.
riwayat	1 story, narrative, tale. 2 history.
riyep	(jakarta) dim (lights).
rizeki	/rizki/ see rezeki.
rk	1. [rum katolik] roman catholic. 2. [rukun warga] 1) village association. 2) a unit of political organization just below the village level.
rkz	[rooms katholieke ziekenhuis] a hospital run by the roman catholic church.
rms	[republik maluku selatan] s. moluccan republic (secession attempt from central gvt. in 1950s and 1960s).
robah	see ubah.
robak-rabik	torn in shreds, in rags.
robbi	(islam) god.
robek	torn.
rober	(bri.) rubber.
roboh	collapse.
robohan	debris, rubble.
robot	1. (jakarta) sound of explosion. 2. 1) robot. 2 unimaginative person.
rocet	(sunda) disorderly. in a mess.
rocok	1 flow (forcefully). 2 (jakarta) leak.
roda	wheel.
rodan	(lit.) painful, tender.
rodat	arabian song accompanied by the tambourine.
rodentisida	rat poison.
rodi	forced labor, corvee (of colonial period). be-, me-rodi 1 do forced labor. 2 (coll.) work extra hard.
rodok	me-rodok 1 stab with upward thrust. 2 dash, in a hurry.
rodong	1. ( lit.) run into, meet by chance. 2. wander about.
rofel	(coll.) do more than o. thing at once.
rogoh	1 grope, search (in pocket, bag, etc.). 2 grope after s.t.
rogol	rogol rape s.o.
roh	spirit, soul.
rohani	spiritual. rohani- dan jasmani spiritual and physical.
rohaniah	spiritual.
rohaniawan	/rohaniwan/ churchman.
rohaniawati	/rohaniwati/ churchwoman.
rohmat	see rahmat.
rohu'l-kudus	(rel.) the holy spirit.
roi,roilen	(coll.) building alignment.
rojok	see rocok.
rojol	protrude, jut out, emerge.
rok	skirt.
rokaat	se rakaat.
roker	rock musician.
roket	rocket.
rokh	see roh.
rokhani	see rohani.
rokhaniah	see rohaniah.
roki	clothes, frock.
roko-roko	k.o. bird.
rokok	cigarette.
rokrak	piece of wood.
rol	1. (thea.) role. 2. 1) roll, roller. 2 a numerical classifier for rolled things. 3. k.o. small bread.
rolade	k.o. meat loaf.
rolet	roulette.
roltar	/roltar(t) / k.o. cylinder-shaped cake served in slices.
rom	cream.
roma	see bulu.
romadhon	/romadlon, romadon/ see ramadan.
roman	1. figure, looks. 2. novel. 3. (coll.) be in passionate love with e.o.
romansa	romance.
romantik	romantic.
romantika	romance.
romantikus	romantic thinker.
romantis	romantic.
romantisir	romanticize.
romantisme	romanticism.
romawi	see rumawi.
rombak	1 tear down s.t. 2 change the appearance of s.t., remodel. 3 reorganize.
rombang-rambing	/rombang-rombeng/ tattered and torn.
rombe	see rumbai.
rombeng	tattered, torn.
rombengan	1 junk. 2 of a cheap kind.
romboida	(math.) rhomboid.
rombong	1. 1) k.o. large rice basket with cover. 2) pushcart (often used by venders). 2. come in large groups.
rombongan	1 group, party. 2 gang.
romboter	butter.
romel	/romel-romel/ (coll.) junk.
romeo	handsome, romantic youth.
romet	work at odd jobs.
romhorn	k.o. cone-shaped pastry with sweet filling.
romo	term of address or reference to roman catholic priest.
romok	(lit.) be uneasy, be upset.
romong	(jakarta) torn, in tatters.
rompak	commit piracy.
rompal	(java, jakarta) knocked loose, fall apart.
rompang	see rumpang.
rompang-ramping	tattered and torn, in shreds.
rompeng	/rompes/ damaged on the edge.
rompi	waistcoat, vest.
rompok	hut.
rompong	1 cut off, mutilated. 2 mutilation.
rompyok	layer (of a gown).
romusa	/romusha, romusya/ 1 program of involuntary labor during japanese occupation. 2 (coll.) brutally exploited labor.
rona	color.
ronce	tassel, appendage.
roncet	small bits.
ronda	1 rounds, patrol, beat. ronda-an patrol, night watch.
rondah-randih	be in disorder.
ronde	(sport) a round. /ronde`s/ k.o. ginger drink with peanuts and rice flour balls.
rondes	(sport) rounders.
rondo-royal	(java) fried fritters of fermented cassava.
rondok	hide o.s.
roneo	mimeograph.
rongak	discontinous, with gaps (of teeth, fences, etc.).
rongga	hollow space, cavity, hole. rongga-dada thoracic cavity. rongga-hidung nasal cavity.
ronggang	see renggang.
ronggeng	(java) paid dancing or singing girl sometimes also available for sex.
ronggoh	see rungguh 2.
rongkoh	/rongkok/ walk stooped over.
rongkongan	1. (java, jakarta) skeleton. 2. see kerongkongan.
rongong	sound of buzzing.
rongos	see mrongos.
rongrong	1 gnaw at s.t. 2 undermine s.t., damage s.t.
rongseng	sullen, upset, grumbling.
rongsok	damaged, worn-out.
rongsokan	worn-out articles, wreckage.
ronsel	crimp.
