percis	see persis.
phinisi	k.o. bugis cargo boat.
phobi	/fobi/ phobia, opposed to s.t. that o. should favor.
photo	see foto.
pi	1. [ambon) see pergi. 2. see papi.
pia	(china) k.o. tea cake.
piagam	charter, contract, deed.
piah	(china) take a ride.
pial	1 wattle. 2 gill.
piala	1 (lit.) cup, goblet. 2 loving cup. piala-ginjal (anat.) pelvic region.
pialang	intermediary, broker.
piama	see piyama.
piancang	(china) warrior.
pianggang	k.o. cricket.
pianica	k.o. musical instrument.
pianis	pianist.
piano	piano.
piao	(china) a dart.
piar	combed (of hair).
piara	see pelihara.
piarit	1 harpoon. 2 antenna of insects.
pias	1. margin, line. 2. pale.
piat-piut	descendants.
piatu	motherless child.
piau	(china) secret weapon in martial arts.
piawai	skilled, expert, sophisticated.
pica	neglect.
picah	see pecah.
picah-beling	k.o. flowering ornamental herb.
picak	see pecak.
pici	rimless cap, us. of black velvet, similar in shape to an ovenseas cap.
picik	1 narrow. 2 narrow-minded.
picing	wink.
picis	amounts in multiples of 10 cents.
picisan	1 10-cent pieces. 2 small-time, two-bit. 3 worth 10 cents.
picu	trigger, cock, hammer (of gun).
pidana	(leg.) 1 criminal. 2 punishment.
pidanawan	(leg.) prisoner.
pidato	speech, address.
pidi	mem-pidi aim, direct.
pigi	(coll.) see pergi.
pigimana	see bagaimana.
pigmen	/pikmen/ pigment.
pigura	1 picture, painting. 2 figure, representation. 3 picture frame.
pihak	1 side. 2 party (in a dispute, etc.).
pihutang	see piutang.
piil	see fiil.
pijah	spawn.
pijak	/pijak-pijak/ pedals.
pijar	blazing, red-hot, glowing.
pijar-pijar	borax.
pijat	get a massage.
pijat-pijat	bedbug.
pijet	/pijit/ see pijat.
pik	(china) eight (mainly used in commercial transactions). pik-ban 80,000. pik-ban go 85,000. pik-cap 80. pik-cap go 85. pik-ceng 8,000. pik-pek 800. pik-pekceng 800,000. pik-pek go 850. pik-pek go ceng 850,000. pik-tiau 8 million. pik-tiau pua 8,500,000.
pik.	[pikul] 137 lbs.
pikap	(coll.) 1 van, pick-up truck. 2 phonograph, hi-fi.
pikat	1. horsefly. 2. 1) trap birds with sticky substance. 2) attract, be attractive.
pikau	utter cries of fear.
pike	see kain.
pikep	see pikap.
piket	1 picket in a strike. 2 posted guard. 3 duty officer, o. on duty during off hours. 4 be on duty during off hours.
pikir	1 opinion, idea. 2 thought.
piknik	go on an excursion, picnic.
pikul	137 lbs.
pikun	senile, senility.
pil	pill, tablet.
pilah	sort, classify.
pilar	pillar.
pilek	have a cold.
pilem	see film.
pilih	fastidious, squeamish, choosy.
pilihan	1 choise. 2 selection.
pilin	spiral, twist.
pilinan	a twist, cord.
pilipina	see filipin.
pilis	camphor-based compress applied to forehead.
pilon	1 stupid. 2 innocent, naive.
pilot	plane pilot.
pilsapat	see filsafah.
pilu	1 moved, touched, affected. 2 sympathetic.
pilun	see pilon.
pilus	k.o. snack made of fried grated sweet potatoes.
pimpin	lead, guide.
pimpinan	leadership, guidance. 2 management, administration.
pimping	k.o. tall grass.
pimpong	see pingpong.
pinak	descendant.
pinalti	see penalti.
pinang	areca nut.
pinangan	1 proposal submitted. 2 o. whose hand is asked.
pinatua	church elder.
pincang	1 lame, crippled. 2 having a defect so that things are not even or smooth.
pincil	bunch, strand.
pincuk	1. 1) a folded-over banana leaf used as a container for portions of food. 2 k.o. fruit salad served with a spicy fish sauce. 2. make s.o. fall in love.
pincut	mem-pincut(kan) enthrall, make s.o. fall in love.
pinda	see penda.
pindah	1 move. 2 change, transfer to s.t. else.
pindai	scrutinize, look at carefully.
pindakas	peanut butter.
pindang	preserve large fish or meat with salt without drying.
pinding	see kepinding.
pines	thumbtack.
pingai	light yellow.
pinggan	dish, plate.
pinggang	1 waist. 2 loins.
pinggir	1 edge, seam. 2 border.
pinggiran	edges, coastal areas, outskirts.
pinggul	1 hip. 2 behind, rear.
pingin	see kepingin.
pingit	secluded (of marriageable girl).
pingkal	see pingkel.
pingkau	see pikau.
pingkel	double up with laughter.
pingpong	1 pingpong. 2 the football treatment, sending from pillar to post.
pingsan	1 unconscious. 2 fainted. 3 have a fit.
pingster	(rel.) pentecostal sect.
pinguin	/pingwin/ penguin.
pinhong	(china) screen.
pinisepuh	(java) elders (of a village or any organization).
pinisi	see phinisi.
pinjak	see pijak.
pinjal	flea.
pinjam	borrow .
pinjaman	loan.
pinset	tweezers, pincers.
pinsil	see pensil.
pinta	1.request. 2. /pintak/ fate, destiny.
pintaan	request, question.
pintal	spin, twine.
pintalan	ball of twine.
pintar	1 clever, smart. 2 skilled at, able.
pintas	a second (of time).
pintasan	short cut.
pinter	see pintar.
pintil	1. skin of yarn. 2. see pentil.
pintoo	(china) 1 buddhist priest. 2 term of address to buddhist priest.
pintu	door, gate.
pinus	k.o. tree, pine.
pinusisasi	reforestation with pines.
pion	(che.) pawn.
pionir	pioneer.
pipa	1 pipe, for smoking. 2 pipe, conduit, tube.
pipet	(chem.) pipette.
pipi	cheek.
pipih	flat, thin.
pipil	loosen beans, grains from shell.
pipilan	s.t. shelled.
pipis	1. (child language) urinate. 2. mash, crush up.
pipit	1. sparrow. 2. (child language) penis. 3. mouthpiece of a wind instrument.
pirai	(med.) gout.
piramid	/piramida/ pyramid.
piramidal	pyramidal.
pirang	see perang.
piranti	see peranti.
pirasa	see rasa.
pirasat	see firasat.
pirau	dark brown.
piraun	see firaun.
pirdaus	see firdaus.
pirik	mem-pirik rub down, pulverize.
piring	plate.
pirometer	pyrometer.
pirsa	pem-(p)irsa tv audience.
pirsawan	tv audience.
pirsider	refrigerator.
pirus	turquoise (gem).
pis	1. bolt of cloth. 2. see pipis 1.
pisah	1 part. 2 separated.
pisang	banana.
pisau	knife. pisau-bedah scalpel. pisau-belati dagger. pisau-cukur razor.
pisik	see fisik.
pisin	(sunda) saucer.
pisit	1. svelte. 2. press, compress.
pispot	chamber pot.
pistol	pistol, revolver.
pisuh	curse, use bad language in anger.
pisuhan	s.t. said in cussing.
pit	1. (china) brush pen. 2. bike, motorbike.
pita	1 ribbon. 2 tape.
pitam	1 dizziness. 2 fit. 3 apoplexy. 4 paralytic stroke.
pitar	mem-pitar aim a weapon. pem-pitar (gun) sight.
pitenah	see fitnah.
pites	strush between the fingernails.
piting	1. hold with forearms, clinch. 2. see fiting.
pitrah	see fitrah 1.
pituas	/pituwas/ 1 compensation, reward. 2 wage.
piuh	distorted.
piun	see pion.
piut	descendant 5th removed.
piutang	1 credit. 2 claim, accounts receivable.
piwulang	(java, sunda) lesson, teaching.
piyama	pajamas.
piyut	choke.
pj.	[pejabat] official.
pjka	[perusahaan jawatan kereta api] indonesian railway systems.
pjs.	[pejabat sementara] temporary official.
pk	1. [partai komunis] communist party. 2. [poardekracht] horsepower. 3. /p3k/ [pertolongan pertama pada kecelakaan] first aid.
pk.	[pukul] o'clock.
pki	[partai komunis indonesia] indonesian communist party.
pkk	[pendidikan kesejahteraan keluarga] program at village level to educate women on various aspects of family welfare.
pkl.	[pukul] o'clock.
pkus	[partai komunis uni sofyet] communist party of the soviet union.
pl-	see also entries with pel-.
pl.	[perjanjian lama] (bib.) old testament.
plafon	/plafond/ ceiling.
plagiat	plagiarism.
plagiator	plagiarist.
plak	1. /plak/ sound of slap. 2. plaque (on teeth).
plakat	poster.
plaksegel	receipt stamp or seal.
plamir	/plamur/ putty, spackle for pinting.
plan-plan	see pelan.
plane	/plein/ airplane.
plang	1 signpost. 2 gate.
planit	planet.
plankton	plankton.
planologoi	city planning.
plas-plosan	see ceplas-ceplos.
plastik	plastic.
plastis	plastic.
plastisitas	plasticity.
plat	see pelat.
platina	1 platinum. 2 (auto.) distributor contract, points.
plebisit	plebiscite.
pledooy	/pledoy,pleidoi/ (leg.) defense.
plek	stain, spot.
plempem	(java) large pipe (for drainage, etc.).
pleno	full, plenary.
plentong	lightbulb.
ples	bottle, flask.
