sergapan	attack, ambush.
seri	1. 1) honorific royal title. 2) shining splendor, gleam. 2. (sport) be a tie. 3 see sari. 4. see hilang. /se`ri/ series.
seriawan	(med.) sprue, oral ulceration.
seribu	see ribu.
serigala	jackal, wolf.
serigunting	k.o. bird with a forked tail.
serik	1. sore (of throat). 2. learn o.'s lesson, refuse to do s.t. because of a former bad experience.
serikat	1 united. 2 union, league, alliance.
serikaya	1. annona, the sweetsop fruit. 2 k.o. jam made of eggs, sugar, and coconut cream.
serimpet	/serimpat/ see serempet.
serindit	k.o. parakeet.
sering	1. often. 2. (m) slender. 3. firm and tight (of plaited or braided materials).
sering-sering	often, over and over.
seringai	1 a grin, grimace. 2 say with a grin or grimace.
seringnya	frequency.
seriosa	semiclassical and classical (of music).
serit	k.o. fine-toothed louse comb.
serius	1 serious, solemn. 2 wholehearted.
serkah	torn or broken off.
serkap	1. 1) cone-shaped fish trap that is thrust down on fish in shallow water. 2) cone-shaped bird cage. 2. see sergap.
serling	pitfall.
sero	1. (fin.) 1) a share (business). 2) have a share interest. 2. k.o. large stationary fish trap.
serobok	see sirobok.
serobotan	s.t. snatched.
serodok	see seruduk.
seroja	k.o. lotus.
serok	1. (lit.) bay, inlet. 2. (java) scoop, round spatula. 3. see sero 2.
serokan	drain, ditch.
serombong	1 hollow cylinder. 2 pipe, tube.
serondol	see sondol.
serondong	see sondong.
serong	1 askew, slanting. 2 unfaithful.
serong-menyerong	crisscross.
seronok	(lit., humorous) pleasant, agreeable.
serpih	1 splinter, flake, shard. serpih-kayu chips, wood shavings. 2 (geol.) shale.
serpihan	chip, piece, shard.
serpis	see servis 1,2.
sersan	(mil.) sergeant or naval petty officer, in address, esp. as san.
serse	see reserse.
sersi	1. see reserse. 2. serge.
serta	1 with, along with. 2 and, as well as. 3 as soon as.
sertarasa	see serta.
sertifikat	/sertipikat/ certificate.
sertu	1. (islam) ritual ablution after touching s.t. impure (e.g. pig, etc.). 2. [sersan satu] (mil.) first sergeant.
seru	1 utter a shout, yell s.t. 2 sharp, violent.
seru-alam	the universe.
serual	see seluar.
seruan	1 call, cry. 2 (ling.) exclamation. 3 appeal.
serudukan	attack, ramming.
serudung	k.o. monkey.
seruit	harpoon.
seruitan	a whistle.
seruling	k.o. flute.
serum	serum.
serumah	be under one roof.
serunai	1. a wind instrument with a reed. 2. k.o. flowering plant.
serundeng	/serunding/ relish of grated coconut and spices.
seruni	k.o. seashore flower.
serunting	k.o. vine.
serupa	1 similar, of o. kind, likewise. 2 be similar to s.t.
serut	(jakarta) k.o. carpentry tool, a plane.
serutan	shavings.
serutu	see cerutu.
servis	1. 1) service (in a hotel, etc.) 2) provide with repair or maintenance service. 2. set of crockery (for tea, desert, dinner, etc.0.
sesaat	a moment.
sesajen	/sesaji, sesajian/ (rel.) ritual offerings.
sesak	1 narrow, close. 2 crowded, tight.
sesal	regret, remorse, repentance.
sesama	fellow, peer.
sesanti	(java) slogan, motto.
sesap	(m) abandoned field.
sesapan	1 s.t. sucked, lapped up. 2 sucking.
sesar	1. (geol.) fault. 2. /se`sar/ (med.) cesarean.
sesat	1. lose o.'s way. 2 go astray, deviate.
sesawi	k.o. green vegetable.
sesdalopbang	see sekdalopbang.
sese	centimeter.
sesegera	as soon as.
sesekali	occasionally, now and then, once in a while.
sesembahan	(java, rel.) s.o. s.t worshiped.
sesempurna	as complete or perfect as.
sesenap	k.o. plant.
sesenggukan	in gasps, choking.
seseorang	1 anyone, someone or other. 2 a certain person.
sesepuh	(java) elders.
seser	k.o. fish net.
sesering	as often as.
seset	1. (java skinned, scraped. 2. dragonfly.
sesko	[sekolah staf komando] staff college of the armed forces.
seskogab	[sesko gabungan] joint staff college of the armed forces.
sespan	side-car (of motorcycle).
sesuai	1 appropriate. 2 agree with.
sesuatu	1 a certain, an unspecified. 2 a certain s.t.
sesudah	after.
sesuku	1 half a rupiah. 2 of the same ethnic groups.
sesumbar	boast, show off.
sesungguhnya	actually, in truth.
set	(tech.) set.
set-	see also entries with st-.
