alto	kb. 1 penyanyi dengan suara alto. 2 nada suara wanita yang terendah.
anon.	(anonymous) tanpa nama, tidak diketahui namanya.
anonymity	kb. keadaan tanpa nama.
anonymous	ks. tanpa nama, tidak diketahui namanya. he prefers to remain a. ia lebih suka tidak diketahui namanya. a. letter surat kaleng/buta.
another	ks. 1 yang lain. please give me a. banana, i don't like this one berilah saya pisang yang lain, saya tak suka yang ini. 2 satu lagi. please give me a. banana; i've eaten this o. berilah saya pisang satu lagi. yang tadi sudah saya makan..
ans.	1 (answer) jawaban. 2 (answered) dijawab.
answer	kb. 1 jawaban, sahutan. 2 balasan. --kkt. 1 menjawab, menyahut, membalas. 2 membuka. 3 memenuhi. 4 mengabulkan. to a. back membantah. to a. for 1 bertanggung jawab, menanggung. 2 dipakai (sebagai pengganti) to a. to 1 memenuhi, cocok, sesuai dengan.
answerable	ks. 1 dapat dipertanggung jawabkan/dipersalahkan. he is a. for his crimes ia dapat dipertanggung- jawabkan atas kejahatannya. 2 dapat dijawab. that question is not a. pertanyaan itu tak dapat dijawab.
ant	kb. semut. a. hill sarang semut, busut. flying a. kelekatu, laron. red a. kerangga. white a. anai-anai.
antacid	kb. asam semut, asam yang menetralkan asam-asam.
antagonism	kb..antagonisme, permusuhan, perlawanan, kebencian, pertentangan, peringkaran.
antagonist	kb. 1 lawan. he was a powerful a. ia seorang lawan yang kuat. 2 musuh. the hero defeated each a. pahlawan itu mengalahkan tiap musuh.
antagonistic	ks. bermusuhan, berlawanan, menentang. he had an a. attitude ia sikapnya bermusuhan.
antagonize	kkt. menimbulkan, membuat benci. the will antagonized her surat warisan itu menimbulkan kemarahannya.
antarctic	kb., ks. daerah kutub selatan.
ante	kb. 1 pot, bank, taruhan, pancang (dalam permaian kartu). 2 sl.: sokongan, sumbangan, kontribusi, iuran. --kki. to a. up memberi sokongan/sumbangan.
ante meridiem	sebelum tengah hari. 2 a.m. jam 2 pagi.
anteater	kb. trenggiling.
antebellum	ks. sebelum perang (terutama sebelum perang saudara as). an a. home rumah sebelum perang saudara.
