cuka	vinegar.
diat	(islam) fine imposed for failure in o.'s religious responsibilities.
didaktik,didaktis	didactic.
dideh	(java) coagulated chicken or beef blood as food.
didih	men-didih 1 boil. 2 boil, rage.
didik	1 educate. 2 bring up, raise (children).
didikan	1 education, upbringing. 2 pupil, product of a certain teacher, alumnus.
didis	1. men-didis slice thinly. 2. (java) men-didis removes nits and lice from o.'s hair.
dido,didong	1. (sl.) 1) frenchman. 2) european. 2. stubbon, obstinate. 3. k.o dance in aceh.
dies-natalis	anniversary (of educational institutions, universities, college departments, etc.).
diesel	1 (coll.) diesel motor, electric generator. 2 diesel fuel.
diet	diet.
diferensial	(math) differential.
diferensiasi	differentation.
difinisi	see definisi.
difraksi	diffraction.
difteri	diphtheria.
diftong	diphthong.
difusi	diffusion.
digdaya	(java) invulnerable.
digital	digital.
digjaya	see digdaya.
digul	boven digul, place of political exile in irian jaya during dutch period.
digulis	orang-digul o. who was exiled at boven digul.
diit	see diet.
dik	see adik.
dikau	(lit.) you.
dikhotomi	see dikotomi.
dikir	(islam) repeatedly chant part of the confession of faith, often in unison, as a form of worship.
dikit	little, small.
diklat	(pendidikan dan latihan) training and education program for gvt. and military personnel.
diko	see duko.
dikol	1 calculated, estimated. 2 collated.
dikotomi	dichotomy.
dikrit	see dekret.
diktat	written summary of lectures, often used as a university texbook.
diktator	dictator. men-i rule over (with iron hand).
diktatoris	dictatorial.
diktatur	dictatiorial gvt.
dikte	diction.
diktum	decision of a high authority.
dilak	men-dilak roll o.'s eyes.
dilalah	(java) by god's will, by chance.
dilema	dilemma.
diletan	dilettante.
diletantisme	dilettantism.
dim	1. a linear measurement, decimeter. 2. (auto.) bright headlights.
dimas	(java) term of address for younger brother.
dimensi	dimension.
dimesionir	see demisioner.
dimpit	see dempet.
dina	of low esteem, ignoble.
dinamik	dynamic.
dinamika	dynamics.
dinamis	dynamic.
dinamisasi	dynamicization.
dinamisator	dynamist.
dinamisir	men-dinamisir make dynamic.
dinamisme	dynamism.
dinamit	dynamite.
dinamo	dynamo.
dinar	1 various k.o. gold coins, now used as jewelry. 2 unit of money in middle east.
dinas	1 official (gvt.). 2 agency, department. 3 gvt. service, official duty. 4 church service.
dinasti	dynasty.
dinda	see adinda.
dinding	1 interior wall, partition. 2 buttress.
