sitar	see siter.
sundal	/sundel/ 1 prostitute. sundal-bolong k.o. evil female spirit (with a hole in her back). 2 lewd, immoral. 3 (vul.) whore !, a strong exclamation of disapproval.
sundul	see sondol.
sundut	(m) generation, descent.
sungai	river, stream. sungai-mati 1 driver river. 2 road full of holes and stones.
sungga	(lit.) spike or sharp stake implanted at angle to impede enemy's progress.
sungging	painting, decoration.
sunggit	see sungkit 1.
sungguh	1 true. 2 really, truly. 3 actually, in fact.
sungguh-sungguh	seriously, wholeheartedly.
sungguhan	(coll.) serious, in earnest.
sungguhpun	see sungguh.
sungkal	(lit.) sungkal-bajak plowshare.
sungkan	(java) reluctant to approach or take action toward s.o. of higher status.
sungkawa	see belasungkawa.
sungkem	1. (java) show respect by kneeling and pressing o.'s face to another's knees. 2. (lit.) prop up.
sungkit	1. embroidered with bits of gold or silver thread. 2. pry out.
sungkup	concave cover or shelter.
sungkupan	k.o. basket.
sungkur	spade, shovel.
sunglap	see sulap 1.
sungpia	see songpia.
sungsang	1 upside down. 2 against the grain.
sungsum	see sumsum.
sungu	(java) horn of animal.
sungut	1. 1) (biol.) a specialized organ of touch in an animal or insect (e.g. tentacle, antenna, feeler, etc.). 2) moustache. 2. sungut-an grumbling complaint.
suni	(islam) pertaining to the sunnite movement.
sunjam	(lit.) head downward.
sunnah	see sunat 2.
sunni	see suni.
sunti	knob on gingger root.
suntikan	injection, vaccination.
suntil	chewing tobacco.
sunting	1. ornament or flower worn behind the ear. 2. sunting-an editing.
suntuk	1 too late. 2 be overtaken by events or time. 3. entire length of time.
sunyata	(lit.) true.
sunyi	1 lonely. 2 quiet. 3 deserted, desolate.
sup	see sop.
supaya	1 so that. 2 please, particle introducting a polite command.
supel	1 flexible. 2 sociable.
super	1 high-octane (of gasoline). 2 (coll.) superior.
superioritas	superiority.
supermi	instant noodles.
supersemar	[surat perintah sebelas maret] document handing over the gvt. power from sukarno to suharto.
supervisi	supervision.
supir	see sopir.
supit	see sumpit.
suplai	supply.
suplemen	supplement.
suporter	(sport) enthusiast, fan.
supra-alami	supernatural.
supremasi	supremacy.
sur	see syur 1.
sura	see asyura.
surabi	see serabai.
surah	(islam) division of the koran, a sura.
surai	(lit.) dressed or parted (of hair, animal fur, etc.).
surakarta	solo, city in central java.
suralaya	(lit.) dwelling of the gods.
suram	1 vague, hazy. 2 gloomy, dark, dull.
surat	1 letter, epistle. 2 certificate, receipt, document.
suratan	1 writing. 2 fate, destiny.
surau	(islam) prayer-house, communal building suitable for any devotion except friday prayer.
suren	see jalak. /sure`n/ (java) see surian.
surga	heaven. surga-dunia an earthly paradise.
surgawi	heavenly, pertaining to heaven.
suri	1. shuttle comb on a weaving loom. 2 see ibu.
suri-teladan	good example, model.
suriah	syria.
surian	k.o. tree.
surih	(m) a scratch or line.
surjan	(java) long-sleeved man's jacket us. of woven, striped material.
sursak	see sirsak.
suruh	1 (coll.) be ordered to. 2 order s.o. to do s.t.
suruhan	1 message, order. 2 messenger, delegate.
surukan	1 hiding place, shelter. 2 (coll.) drawer.
surung	see sorong.
surup	(java) fitting, proper, appropriate
surut	1 withdraw. 2 lessened, subsided.
survai	/survei/ 1 research. 2 to survey.
surya	(lit.) sun.
suryahi	(lit.) syrian.
suryakanta	magnifying glass.
sus	1. see kue. 2. see zus.
susah	1 troubled. 2 hard to get. 3 difficult, bothersome.
susastera	literature.
susi	sister, term of address to catholic nun.
susila	1 decent, well behaved. 2 decency, morality.
susis	see sosis.
suspensi	1. (leg.) suspension, adjournment. 2. (phys.) suspension.
suster	1 catholic nun. 2 term of reference and address for a female nurse. suster-an convent.
susu	1 breast. 2 milk.
susuan	(java) nest.
susuh	1 large projecting thorn or hook. 2 spur.
susuhunan	(java) title of the ruler of surakarta.
