encik	1 (china) term of address and reference for father's younger brother. 2 (china) term of address for a man of o's father's generation. 3 (lit.) term of address for a woman teacher.
encim	1 (china) term of address for father's younger brother's wife. 2 (china) term of address or reference for woman of o.'s mother's generation. 3 wife of the store owner.
encit	(china) cloth, fabric.
encok	1 rheumatic, stiff. 2 rheumatism. 3 gout.
encot	see incut 2.
endak	1 see ndak 1. 2. see hendak.
endal	meng-endal 1 stuff, cram (into bag, etc.). 2 elastic, resilient, springy.
endap	1. meng-endap 1) settle, precipitate. 2) be present, be there (but not put to any use). 2. meng-endap-endap, ber-endap-endap move stealthily, move in crouching position. 3. see tanah.
endasan	chopping board.
endemi	endemic disease.
endemis	endemic.
enderia	see inderia.
endon	(java) (me)ng-endon stay for a considerable length of time.
endong	(sunda) see endon.
endosemen	endosement (of checks).
endosir	endorse (checks).
endrin	brand of pesticide. meng-endrin kill with endrine.
enduk	see genduk.
endus	1 get wind of, smell, whiff. 2 get wind of, find out, discover.
endut	endut-endut-an throb, beat, pound.
enek	nauseated, feel sick.
energi,enerji	energy.
enerjetik,enerjik	energetic.
enersi	see energi.
enes	(java) meng-enes languish from sadness.
enga,engah	1. (jakarta) be aware, be conscious. 2. ter-engah-engah 1) panting, puffin. 2) in hurry.
engak	1 drowsy, sleepy. 2 (med.) comatose. 3 dazed.
engap	1 panting, puffing. 2 tight in the chest, breathe with difficulty.
engas	stink, stench, foul odor.
enggak	see nggak.
enggan	reluctant, averse, unwilling.
enggang	hornbill.
engget	(jakarta) meng-engget hook (fruit, etc.).
enggil	ber-enggil toothed, serrated, notched.
enggokan	(jakarta, java) curve (in road, etc.).
engkah	1. wood glue. 2. 1) half ripe, partially ripe. 2) partially cooked.
engkak	(java) k.o. crow.
engkang	meng-engkang walk with legs wide apart.
engkar	see ingkar.
engkau	1 you, familiar pronoun for 2d person singular, often abbreviated as kau. 2 (coll.) your. 3 (rel.) thou, thee.
engkel	single, not manifold.
engkim	(china) term of address and reference for mother's younger brother's wife.
engko	see engkau.
engkoh	(china) term of address and reference for elder brother or male of age similar to o.'s elder brother.
engkol	1 crank (of machine). 2 wrench.
engkong	(china, jakarta) term of address and reference for grandfather.
engku	1 (china) term of address and reference for mother's younger brother. 2 (lit.) term of address and reference for highly respected individual of both sexes.
engkuk	1. k.o. bird similar to barbet. 2. meng-engkuk-engkuk bend or push s.o. down.
engsel	1 hinge. 2 (r.r.) switch.
engso	(china) 1term of address and reference for older brother's wife. 2 respectful term of address for woman old enough to be married but not of a generation older than the speaker.
enjak	see injak.
enjal	1. meng-enjal stuff, cram. 2. see anjal.
enjima	see ensim.
