padri	see paderi.
pegi	see pergi.
pegimana	(coll.) see bagaimana.
pegon	javanese written in arabic characters.
pegulat	wrestler.
pegunungan	mountain range.
peguyuban	see guyub 1.
pehak	see pihak.
pehcun	see pelcun.
pehong	1 nasty. 2 k.o. venereal disease.
pejabat	functionary, official.
pejajap	buginese war prow.
pejajaran	(jakarta) 1 evil spirit. 2 damn it !.
pejal	1 solid, firm (esp. of earth). 2 massive.
pejam	closed (of eyes).
pejera	sight of a weapon.
pejet	see pijat.
pejompongan	see jompong.
peju	semen, sperm.
pejuang	pejuang
pek	1. (china) hundred (mainly used in commercial transactions). pek-go 150. pek-go ceng 150,000. 2. /pi/ see pik. 3. see empek.
peka	sensitive.
pekah	see nafkah.
pekaja	(lit.) lotus.
pekak	deaf.
pekakak	kingfisher.
pekakas	see perkakas.
pekam	brake.
pekan	1 (weekly) market. 2 week. 3 period certain events are held or the events themselves.
pekarangan	yard.
pekasam	relish made of meat, fish, or fruit preserved in vinegar or salt and kept for some time.
pekat	1 thick, concentrated. 2 tough. 3 strong (of coffee).
pekau	scream.
pekban,pekcap,pekceng	see pik.
pekcun	(china) the dragon-boat festival on 5th day of 5th lunar month.
pekerja	worker, laborer, employee.
pekerjaan	1 work, task, activity. 2 job, occupation. 3 operation, working, action (of medicine, a chemical, liquor).4 celebration, feast (a wedding, anniversary, etc.). 5 endeavor. 6 employment.
pekerti	1 character, nature. 2 bad character.
pekgo	see pek 1.
pekik	yell, scream.
peking	whine, howl.
pekir	see apkir, fakir.
pekis	utter a shrill cry.
pekiwan	(java) toilet.
pekojan	1 arab trader. 2 area where merchants live.
pekoleh	efficient.
pektai	(china) leukorrhea.
pektiau	see pik.
pekuburan	cemetery. graveyard.
pekuk	deformed (of hand or foot).
pekung	1 foul-smelling ulceration. 2 tumor.
pekuper	[pelaksana kuasa perang] military authority under wartime conditions.
pekur	muse, meditate.
pel	1. field. 2. kain-pel mop. 3. see pil.
pel-	see also entries with pl-.
pelabaya	hangman, executioner.
pelabi	1 excuse, alibi. 2 dishonest trick.
pelabuhan	1 anchorage. 2 harbor, port, dock.
pelabur	ration, portion.
pelaburan	recurfacing (of road, street).
pelacur	whore, prostitute.
pelacuran	prostitution.
peladang	o. who works or owns such a field.
peladen	waiter, servant.
pelaga	see kapul.
pelah	speech impediment.
pelajar	/pelajaran/ secondary school student.
pelajaran	1 lesson, course. 2 training.
pelak	1. k.o. evil spirit. 2 there is no mistake. 3 not be able to escape from. /pe`lak/ see pelek.
pelakat	see plakat.
pelakon	1 actor, actress. 2 performer. 3 doer.
pelaksana	1 implementer, executor, organizer. 2 producer. 3 manager, director.
pelaksanaan	1 carrying out of s.t., realization. 2 implementation.
pelaku	1 doer, agent. 2 (ling.) subject. 3 (thea.) performer, cast.
pelali	o. who is forgetful.
pelamar	1 suitor. 2 applicant.
pelambung	pitcher, thrower.
pelaminan	dais on which the bridal couple sits.
pelampang	pavilion for outdoor entertainment.
pelampiasan	release.
pelampung	1 float (on fishing line). 2 float, buoy.
pelan	1 slow. 2 soft (of voice). see perlahan. /pe`lan/ see pel1.
pelana	saddle.
