menguntir	twist.
menung	musing, pondering. ber-menung 1 muse, ponder, meditate. 2 act gloomy. pe-menung dreamer, ponderer. per-menung-an contemplation, musing.
menunggak	be in arrears.
menunggal	1 be alone. 2 be a single entity.
menunggalkan	concentrate into o.
menunggang	ride, mount.
menunggangi	1 ride s.t. 2 use an exiting, activity or situation for o.'s own purpose or profit, get a free ride out of.
menunggangkan	turn s.t. over.
menungging	1 move with the rear and higher than the front. 2 sink bow first. 3 be upside down. 4 dive. 5 bulge toward the bottom.
menunggingkan	1 place s.t. upside down. 2 lift or raise rear portion. 3 overthrow (a high authority).
menunggu	1 wait for. 2 look forward to. 3 (java) stay at a place to take care of what has to be done there.
menunggu-nunggu	look forward to eagerly for some time.
menunggui	1 watch over, look after, guard. 2 take care of, tend, nurse.
menunggukan	watch over on behalf of s.o.
menungkai	kick.
menungkul	1. 1) bow o.'s head. 2) submit. 2. 1) push from behind. 2) do s.t. to s.o. from behind.
menungkulkan	bow s.t.
menungkup	be in a face-downward position.
menungkupkan	place s.t. or s.o. face downward.
menungkus	wrap s.t.
menunjal	(lit.) find footing for a leap.
menunjang	kick s.o. or s.t.
menunjuk	1 point toward, indicate. 2 show, indicate. 3 appoint, designate. 4 raise o.'s band. 5 with reference to (your letter).
menunjuki	advise s.o., train s.o.
menunjukkan	1 point out s.t. 2 indicate. 3 refer.
menuntaskan	treat exhaustively.
menuntun	1 guide s.o. or s.t. by a line, the hand, etc. 2 give guidance to.
menuntung	1 cut into tiny pieces. 2 empty.
menuntut	1 demand. 2 (leg.) prosecute, sue. 3 strive for.
menurun	1 go down, descend, down (in crossword puzzles). 2 decline, sink, decrease. 3 be herditary. 4 (ling.) falling (of tones).
menuruni	1 go down along s.t. 2 go down to, descend to.
menurunkan	1 cause s.t. to go down. 2 discharge passenger or cargo. 3 reduce, lower. 4 send down s.t. to o.'s inferiors. 5 generate (descendants), produce a hereditary line of.
menurus	straight and erect.
menuruskan	(lit.) tie s.o. to a post as a punishment.
menurut	1 follow. 2 according to. 3 imitate, follow along. 4 obey, follow.
menuruti	1 follow . 2 grant. 3 comply with, observe (regulation, etc.).
menurutkan	1 obey, follow. 2 copy, imitate. 3 cause s.o. to follow or joint in.
menusuk	1 stab s.o. 2 prick, stick. 3 skewer s.t. 4 vote by perforating the symbol of o.'s choice on the ballot, punch a ballot. 5 penetrate.
menusuki	1 perforate s.t. in many places. 2 penetrate s.t.
menusukkan	stab or prick with s.t.
menutuh	lop off, trim.
menutuk	1 tap, knock on. 2 strike with o.'s fingers (in martial arts).
menutup	1 close, shut. 2 cover. 3 hide, cenceal. 4 fill in, cover over. 5 lock, shut up in jail.
menutup-nutupi	cover s.t. up.
menutupi	1 provide a cover for. 2 cover up. 3 cover or shut repeatedly.
menutupkan	menutupkan
menuturkan	1 relate, narrate, tell about. 2 pronounce, express. 3 inform, announce.
menwa	[resimen mahasiswa] students with military training.
meny-	see also entries with s-, n-, c-.
menyabet	1 whip. 2 snatch, grab.
menyabetkan	whip s.t. against.
menyabit	cut (grass, rice, etc.). 2. certain, definitive.
menyabot	sabotage.
menyabur	1 disappear into the crowd. 2 become confused.
menyadap	1 make incisions in a tree to obtain sap. 2 sample blood. 3 tap, bug (telephone, information, room, etc.).
menyadari	realize, be aware (of).
menyajikan	1 serve, dish up. 2 provide, supply, present.
menyakral	sanctify, make holy.
menyalang	stab with a knife, dagger.
menyalangkan	open (eyes), see jalang.
menyalip	pass, overtake (a car).
menyamakan	1 compare s.t. (with). 2 treat the same as. 3 place on a par, make the same.
menyamankan	1 makefit, freshen up 2 make pleasant or compfortable .
menyamaratakan	1 treat alike. 2 generalize 3 raze to the ground.
menyambar	1 swoop down and seize. 2 strike, attack. 3 steal, rob.
menyambit	lash.
menyambut	1 welcome, receive. 2 accept. 3 parry, reply. 4 on the occasion of.
menyampaikan	1. 1) convey, extend (information, etc.). 2) hand over, give. 3) deliver. 2. 1) put on (a dress). 2) carry on a pole.
menyampang	paddle at stern of the boat.
menyamperi	call on s.o., drop by to pick s.o. up.
menyan	see kemenyan.
menyandang	1) carry s.t. strapped over the shoulder. 2) bear (a tittle).
menyanggah	protest, oppose, contradicted the truth of the report.
menyanggupkan	1 enable. 2 promise.
menyangka	1 think, suppose. 2 suspect.
menyangkak	have goose flesh, ruffle feathers.
menyangkul	be engaged in hoeing, prepare (ground) for cultivation.
menyangrai	(sunda, jakarta) fry without oil.
menyanyi	sing.
menyapih	wean a child.
menyapu	1 wipe off, brush off. 2 sweep. 3 finish s.t.
menyargut	rip with o.'s teeth.
menyaring	1 filter, strain, sift. 2 refine, distill. 3 sift, separate, sort out (information, meaning, etc.). 4 screen (personel for job).
menyaru	disguise o.s.
menyaruk	1. make o.'s way through (bushesh, jungle etc.). 2. have luck (in game), win.
menyarungi	1 encase. 2 put s.t. on. 3 sheathe.
menyarungkan	use as a sheath, pillowcase, casing, etc.
menyasap	pull up weeds.
menyatakan	1 explain, clarify. 2 declare, assert
menyatroni	(java) be hostile toward.
menyatu	become or be one.
menyatukan	1 unite, joint, ally. 2 concentrate s.t. on.
menyaur	repay a debt.
menyayangkan	1.regret ,deplore,consider s.t to be a pity. 2 spare form s.t bad.
menyayat	1 slice, slash into. 2 touch profoundly.
menycetak	1 print (books, banknotes, etc.). 2 cast, shape, mold. 3 produce, stamp (coins, etc.). 4 achieve, produce.
menyebal	(java) deviate (from a principle).
menyebar	spread.
menyebar-luaskan	spread, disseminate, propagate.
menyebarkan	menyebarkan
menyebuk	1 infiltrate, penetrate. 2 interrupt a conversation.
menyebukan	fill up, plug up.
menyebut	1 mention. 2 name, call.
menyebutkan	name, list names.
menyederhanakan	1 simplify. 2 economize.
