spine	kb. tulang belakang. 2 punggung (of a mountain, book). 3 duri (of cactus, porcupine).
spine-chilling	ks. menegakkan bulu roman. spine-tingling ks. seram (story).
spineless	ks. 1 tak bertulang. 2 lemah.
spinet	kb. piano kecil.
spinich	kb. bayam.
spinner	kb. 1 pemintal, pengantih (of cloth). 2 pembual (of tales).
spinster	kb. perawan/gadis tua.
spinsterhood	kb. semasa hidup sebagai gadis tua.
spiny	ks. berduri.
spiraea	kb. semacam tumbuhan.
spiral	kb. pilin. -ks. spiral. -kki. naik (terus). wages have spiraled in recent months upah-upah naik dalam bulan-bulan belakangan ini.
spirant	kb. phon.: bunyi geseran/bergeser.
spire	kb. puncak menara (of a church).
spirit	kb. 1 roh, jiwa. 2 semangat. 3 arwah (of a dead person). 4 jin, hantu, mambang, makhluk halus. 5 suasana. -spirits j. 1 (drink) minuman keras. 2 semangat. -spirited ks. 1 hangat, bersemangat (discussion). 2 bersemangat, gesit (horse).
spiritual	kb. nyanyian negro di as. -ks. 1 bathin, rohani. s. help bantuan bathin. 2 keagamaan. s. writings karangan-karangan keagamaan.
spiritualism	kb. ilmu wasitah.
spiritualist	kb. penganut ilmu wasitah.
spirituous	kb. yang mengandung alkohol. s. liquors minuman keras.
spit	kb. air ludah/liur. 2 tempat memanggang. -kki. (spat atau spit) meludah. don't s. on the floor jangan meludah di lantai.
spitball	kb. bola gumpalan kertas.
spite	kb. dengki, dendam, irihati. to do s.t. for or out of s. melakukan sesuatu karena merasa dengki. -kkt. menjengkelkan, mendongkolkan.
spiteful	ks. pendengki, pendendam, berdengki, irihati.
spitfire	kb. wanita yang marah/galak.
spittle	kb. air ludah/liur.
spittoon	kb. tempolong, peludahan.
splash	kb. 1 cemplungan (of a stone, body entering the water). 2 ceburan (of an oar). -kkt. 1 memercikan(water). 2 bepercikan. -kki. mendebur, cebar-cebur. -splashing kb. deburan, pukulan (of waves).
splashdown	kb. penceburan.
splashy	ks. heboh, dengan cara menarik perhatian.
splatter	= spatter.
splay	ks. miring, renggang keluar.
splayfoot	kb. (j. -feet) kaki bebek.
spleen	kb. limpa (kecil). to vent o's s. upon s.o. mencurahkan rasa bencinya pada seseorang.
splendid	ks. 1 baik sekali (show, oppertunity). 2 enak (meal). 3 tampan (in appearance). -splendidly kk. dengan baik sekali.
splendor	kb. semarak, kemegahan.
splice	kb. sambungan, sambatan. -kkt. manyambung. inf.: to be spliced kawin.
splint	kb. belat. to put a broken arm in splints membelat lengan yang patah. -kkt. membelat.
splinter	kb. suban, serpih. s. group kelompok yang memisahkan diri dari induk organisasinya karena berselisih pendirian. -kkt. memecahkan (a door). -kki. 1 memecah, terpecah (of glass, wood, a group). 2 menyerpih.
