glos	(ling.) gloss.
hee	(coll.) uh huh, yes.
heeh	see ha 2.
heehm	see ehm 1.
hegemoni	hegemony.
heh	see he 1.
hei	see hai.
heiho	indigenous militia during the japanese period.
hejan	see ejan.
hejrah	see hijrah.
hek	(coll.) fence (around yard, etc.).
hektar	hectare.
hektoliter	hectoliter.
hela	meng-hela drag, haul, pull (carriage, wagon, etc.).
helah	(lit.) 1 trick, ruse. 2 excuse, pretext.
helai	1 sheet (of paper, etc.). 2 a counter for paper, cloth, leaf, etc. ber-helai in sheets, unbound.
helak	ber-helak be wafted or lifted back (of long things, whips, etc.).
helat	1. celebration, party. 2. see helah.
heleng	meng-heleng turn, look.
heli	[helikopter] helicopter.
helicak	[helikopter becak] three-wheeled motorized pedicab.
helikopter	helicopter.
helipad	[helikopter pad] helicopter pad.
helium	helium.
helm	/helem/ motorcycle helmet, hard hat.
hem	um (exclamation of distaste, scorn).
hemat	1. judgment, observation. 2. thrifty, economical, thrift.
hembalang	ber-hembalang tumble head over heels.
hembus	see embus 1.
hemong	(sl.) homo, male homosexual.
hempang	see empang.
hempas	see empas.
hempes	see himpit.
hendak	1 wish (to do s.t.). 2 intend, be going to. 3 be about to. hendak-nya be desirable that, should.
hendam-karam	destroyed, wiped out.
hendap	see endap 1.
hendel	handle (of door, etc.).
heng	(sport) hands ! (said when soccer ball is touched with hands).
hengah	see enga 2.
hengkang	see engkang.
hening	1 clear. 2 silent, quiet.
hentak	see entak.
hentam	meng-hentam-kan stamp (the foot). hentam-an 1 foot stamping. 2 big explosion.
henti	stopping, stoppage. henti-an (ling.) stop.
henyak	see enyak.
heos	meng-heos blow with a bursting sound (of steam, etc.).
hepatitis	hepatitis.
her	1 retake (an exam). 2 makeup exam.
heran	1 surprised, amazed. 2 astonisment.
herba	herb.
herbisida	herbicide.
herder	german shepherd dog.
herdislokasi	re-dislocation (of shoulder, etc.).
hereng	see ereng.
herik	see erik.
hering	k.o. fish, herring.
hero	1 popular sports figure. 2 s.o. of considerate prowess.
heroik	heroic.
heroin	heroin.
heroisme	heroism.
herot	see erot 1.
hert,herrt	sound of s.t. being ripped.
hetero	heterosexual.
heterogen	heterogeneous.
heteroseks	heterosexual.
heuristis	heuristic.
hewan	1 domesticated animal. 2 animal (as a class).
hewani	/hewaniah/ of an animal.
hey	see hai.
hi	ha ! (exclamation uttered when teasing s.o.).
hianat	see khianat.
