familiarize	kkt. to f. 0.s. with membiasakan diri dengan mempelajari supaya mengenal.
family	kb. (j. -lies) 1 keluarga. the human f. keluarga manusia 2 rumpun. f. of languages rumpun bahasa. family - size ks. yang dapat memuat seluruh keluarga, cukup untuk seluruh keluarga. family-style ks. gaya yang disukai atau cocok untuk seluruh keluarga.
famine	kb. kelaparan.
famished	ks. sangat lapar. i'm f. saya sangat lapar.
famous	ks. terkenal, termasyhur, tersohor, kenamaan (for sebagai/akan).
fan	kb. kipas (angin). 2 penggemar. -kkt. (fanned) 1 mengipas (a fire). 2 mengusir dengan kipas. 3 memperbesar, menghembus.
fanatic	kb. seorang yang fanatik. -ks. fanatik.
fanatical	ks. secara fanatik. to be f. on fanatik dalam, keranjingan yang berlebih-lebihan.
fanatisicm	kb. fanatisme.
fancier	kb. 1 penggemar. 2 pemelihara (of dogs, birds, etc.) 3 lih fancy.
fanciful	ks. 1 aneh, fantastis. 2 khayal. f. writer penulis cerita-cerita khayal, penulis yang penuh daya khayal.
fancy	kb. (j. -cies) 1 khayalan, fantasi. 2 kesukaan. 3 angan-angan. -ks. (fancier, fanciest) 1 tinggi. 2 indah. -kkt. (fancied) 1 mengkhayalkan, membayangkan. 2 mengira. 3 menyukai. 4 berangan-angan. -fancied ks. yang dikhayalkan.
fancywork	kb. pekerjaan jahitan indah seperti sulaman dsb.
fanfare	kb. 1 keriuhan di pawai, pawai yang riuh. 2 mus.: musik yang dimainkan oleh terompet-terompet. without f. tanpa gembar-gembor.
fang	kb. kb. 1 gigi taring. 2 gigi anjing, ular, dsb.
fanny	kb. (j. -nies) sl.: pantat, bokong.
fantail	kb. 1 ekor/ujung/bagian yang melebar seperti kipas yang terbuka. 2 nav.: bagian buritan yang terletak diatas air dikapal.
fantastic	ks. 1 fantastik, luar biasa. f. story cerita yang luar biasa. 2 inf.: sangat / amat tinggi. f. price harga yang amat tinggi. 3 tak masuk akal.
fantasy	kb. (j. -nies) fantasi, khayalan, lamunan.
far	ks. (farther, farthest). paling ujung. -kk. jauh. far better jauh lebih baik. far-flung ks. luas sekali. far-off ks. jauh sekali. far -out ks. aneh sekali, sangat menyimpang dari yang biasa. far-ranging ks. luas. far-seeing ks. bijaksana.
faraway	ks. 1 jauh. f. places tempat-tempat yang jauh. 2 bersifat melamun.
farce	kb. 1 pertunjukan jenaka. 2 sandiwara pelawak/lelucon.
farcical	ks. lucu, jenaka, yang menggelikan hati.
fare	kb. 1 ongkos/biaya perjalanan, ongkos/harga karcis. 2 makanan (at a restaurant, boarding house). 3 penumpang (in taxi). -kki. berjalan, bepergian. to f. well 1 berjalan baik. 2 kenyang makan.
farewell	kb. ucapan selamat (jalan). -kseru. f.! selamat jalan ! to bid f. to s.o. mengucapkan selamat jalan kepada seseorang.
farm	kb. kebun, perkebunan, rumah dan ladang, tanah pertanian, usaha tani -kkt. bercocok tanam, menanami tanah. -kki. bertani. -farming kb. pertanian. f. community masyarakat petani.
farmer	kb. petani, orang tani.
farmhouse	kb. rumah petani.
farmland	kb. tanah pertanian.
farmstead	kb. tanah beserta rumah-rumah pertanian.
farmworker	kb. buruh tani, pekerja pertanian.
farmyard	kb. halaman pertanian, pekarangan rumah petani.
fart	kb. vulg.: kentut, angin busuk. -kki. berkentut.
