cio	(congress of industrial organization) kongres organisasi industri
cloth	kb. cita, kain. 2 = tablecloth. 3 lap. 4 rel.: (kaum) pendeta.
clothe	kkt. (clothed atau clad) 1 membeli sandang. 2 membajui (a child). 3 mengungkapkan. -clad ks. berpakaian. -clothing kb. pakaian, sandang.
clothes	kb. pakaian, baju. to put on o's c. mengenakan pakaian.
clothesbrush	kb. sikat baju/pakaian bundar.
clotheshook	kb. cantelan pakaian.
clotheshorse	kb. jemuran pakaian. he's a regular c. horse ia seorang pesolek.
clothesline	kb. tali jemuran, penjemuran.
clothespin	kb. jepitan baju.
clothier	kb. 1 penjual pakaian. 2 pembuat pakaian.
clothing	lih clothe.
cloture	kb. penutupan singkat dengan pemungutan suara.
cloud	kb. awan, mega. to be in the clouds 1 melayang-layang bahagia sekali. 2 ngelamun. -kkt. 1 meredupkan. 2 menutupi. 3 memperkeruh. -clouded ks. mendung, gelap.
cloudburst	kb. hujan keras/lebat/deras.
cloudiness	kb. keadaan mendung/berawan, kegelapan, kesuraman.
cloudy	ks. 1 mendung, berawan. c. sky langit mendung. 2 suram. c. look pandangan yang suram. 3 kabur. c. arguments alasan-alasan yang kabur. 4 keruh (of water).
clout	kb. inf.: pengaruh, kekuasaan, kekuatan.
clove	kb. 1 cengkeh. 2 butir. a c. of garlic sebutir bawang putih. lih cleave.
cloven	lih cleave.
clover	kb. semanggi. four-leaf c. daun semanggi berhelai empat. to live in c. bagai ayam bertelur di padi.
cloverleaf	kb. daun semanggi. c. intersection jembatan semanggi.
clown	kb. 1 pelawak, badut (in circus, fairs) 2 pej.: orang udik. -kki. membadut.
cloy	kki. menjemukan, memualkan, membosankan (karena kebanyakan). her attitude was cloying sikapnya menjemukan.
club	kb. 1 pentung, alat pemukul, tongkat getokan. 2 perkumpulan, klab, klub. 3 bridge : klawar, klaver. 4 gedung perkumpulan. -kkt. (clubbed) memukul, mementung (s.o.). -kki. berkumpul, mengumpulkan.
clubfoot	kb. kaki pekuk.
clubfooted	clubfooted
clubhouse	kb. rumah bola, gedung perkumpulan.
clubwoman	kb. (j. -women). wanita yang aktif dalam perkumpulan.
cluck	kb. ketokan (of a hen). -kki. berketok(of a hen).
clue	kb. penunjuk, petunjuk, gelagat (untuk memecahkan sesuatu soal). -kki. inf.: memberi petunjuk-petunjuk.
clump	kb. 1 rumpun. a c. of trees serumpun pohon-pohon. 2 gumpal. a c. of earth segumpal tanah. -kkt. menjadi serumpun. to c. (along, about) berjalan gedebak-gedebuk.
clumpsiness	kb. kekakuan, kejanggalan, kacanggungan.
clumsy	ks. 1 janggal, kagok, kikuk. at this age he's so c. pada umur ini ia kagok betul. clumsily kk. dengan janggal/canggung/kikuk.
clung	lih cling.
clunk	kb. bunyi debam/dengkang. the metal object landed with a c. barang logam itu jatuh berdebam.
cluster	kb. 1 tandan. a c. of grapes setandan buah anggur. 2 kelompok. a small c. people sekelompok kecil orang-orang. -kki. berkerumun. the crowd clustered around the injured man orang banyak berkerumun di sekeliling orang yang luka itu.
clutch	kb. 1 auto.: kopling. 2 sarang. 3 genggaman, cengkeraman. in the c. dalam keadaan kritis/genting. clutches j. genggaman. -kkt. 1 menggenggam (s.t.). 2 mengepit. -kki. berpegang pada.
clutter	kb. kekusutan, kekacauan. -kkt. mengusutkan, mengacaukan.
cm.	(centimeter) senti(meter).
cmdg.	(commanding) yang menjadi komandan.
cmdr.	(commander) komandan.
cno	(chief of naval operation) komandan operasi al.
co	(commanding officer) perwira komandan.
co-author	kb. penulis bersama, kawan penulis. -kkt. mengarang,/menulis bersama.
co-chairman	kb. (j. -men). ketua bersama, sesama ketua.
co-op	kb. inf.: toko koperasi. she shop at the c. ia berbelanja di toko koperasi. -ks. inf.: koperatip, koperasi. he lives in a c. apartment ia tinggal di suatu apartemen koperatip.
co-op.,  coop.	1 (co-operation) kerja sama. 2 (co- operative) koperasi.
co-opt	kkt. memilih. the government co-opted my car pemerintah telah memilih mobilku. we have co-opted your help kami memutuskan bersama untuk meminta pertolonganmu.
co-respondent	kb. orang yang tertuduh berzina dengan suami atau isteri yang sedang dituntut bercerai.
co-worker	kb. teman sekerja.
co.	1 (company) maskapai. 2 (county) kabupaten.
coach	coach
coagulant	kb. zat pembeku/pengental
coagulate	kkt. membekukan, mengentalkan (the white of an egg). -kki. membeku, mengental. the blood coagulated darah membeku.
coagulation	kb. pembekuan, pengentalan.
coal	kb. batu bara. -kki. mengisi batu bara. coal- black ks. hitam pekat. c. scuttle ember (untuk) batu bara. c. tar belangkin, pelangkin, ter. coaling station tempat mengisi batu bara.
coalesce	kki. bersatu, bergabung. it is hoped that these small countries will c. into a united country diharapkan bahwa negara-negara kecil ini akan bergabung menjadi suatu negara bersatu.
coalescence	kb. pergabungan, perpaduan, jerepetan.
coalition	kb. pergabungan, persatuan, koalisi. c. party partai koalisi.
coarse	ks. 1 kasar. c. hair rambut kasar. 2 kesat. c. skin kulit kesat. 3 mentah. c. metal logam mentah. coarse-grained ks. tidak halus. c.-grained cloth cita yang tidak halus, kain kasar.
coarseness	kb. kekasaran.
coast	kb. pantai, pesisir. he lives on the c. ia hidup di daerah pantai lautan pasifik. -kki. 1 meluncur. to c. down a snowbank meluncur kebawah diatas timbunan salju. 2 lulus dengan mudah.
coastal	coastal
coaster	ko. 1 alas . place a c. under the glass taruh alas dibawah gelas. 2 alas beroda. the mechanic uses a c. while he works under a car montir mempergunakan alas beroda selagi ia bekerja. 3 ship.: kapal pantai. 4 peluncur.
coastline	kb. garis pantai.
coastwise	ks., kk. sepanjang pantai. c. trade perdagangan sepanjang pantai.
coat	kb. 1 jas. 2 mantel. 3 lapisan. -kki. 1 menutupi, melapisi. 2 melapisi. 3membedaki. coating kb. 1 lapisan. 2 helai kain untuk membuat jas.
coattail	kb. ekor/buntut jas.
coax	kkt. membujuk i coaxed her into doing her homework saya membujuknya agar membuat pekerjaan rumahnya. -coaxing kb. bujukan.
coaxial	ks. mempergunakan jaringan atau mempunyai sumbu yang sama. c. cable kawat koaksial.
cob	kb. tongkol. corn on the c. jagung di tongkol.
cobalt	kb. kobalt. c. blue biru kobalt. c bomb bom kobalt.
cobbler	kb. tukang sepatu.
cobblestone	kb. batu bulat untuk pembuatan jalanan.
cobra	kb. kobra, ular sendok/tedung beludak.
cobweb	kb. jaringan laba-laba.
coca  cola	kb. (minuman) koka kola.
cocaine	kb. kokain.
coccyx	kb. tulang tungging/sulbi.
cochlea	kb. ruang tempat selaput telinga, rumah sipuh (pada telinga).
cock	kb. 1 ayam jantan. 2 keran. 3 kokang(of a gun). -kkt. 1 mengokang (a rifle). 2 melirik. 3 memiringkan, menelengkan. cock-a-doodle-doo kb. kukurukuk. c. -and-bull story cerita isapan jempol. inf.: c. of the walk yang berkuasa, jago(an).
cockatoo	kb. kakatua.
cockcrow	cockcrow
cockerel	kb. ayam jantan muda, ayam bujang.
cockeyed	ks. 1 bermata juling. she's c. ia bermata juling. 2 sl.: tolol, bodoh, sinting. c. ideas pikiran-pikiran tolol.
cockfighting	kb. sabungan ayam.
cockiness	kb. inf.: kesombongan, kecongkakan.
cockle	kb. semacam tiram (bisa dimakan). his kindness warmed the cockles of my heart kebaikannya menyedapkan hatiku.
cockpit	kb. 1 ac.: kokpit. 2 gelanggang sabung ayam.
cockroach	kb. coro, kecoa(k), lipas, kecuak, jere.
cockscomb	kb. balung, jengger.
cockspur	kb. taji, susuh, jalu.
cocksure	ks. yakin sekali, terlampau yakin. don't be so c. janganlah terlalu yakin.
cocksureness	kb. keyakinan yang terlalu pasti.
cocktail	kb. minuman keras (dengan wiski) c. party pesta cocktail (biasanya diadakan pada waktu sore).
cocky	ks. inf.: sombong, congkak.
cocoa	kb. cok(e)lat. c. bean biji coklat.
coconut	kb. (buah) kelapa. c. milk santan. c. oil minyak kelapa. c. palm pohon kelapa. c. plantation kebun kelapa.
cocoon	kb. kepompong, sarung ulat, kokon.
cod	kb. =codfish. cod-liver oil minyak ikan.
coddle	kkt. memanjakan (o's children)
code	kb. sandi, kode. morse c. sandi morse. 2 kitab undang-undang. c. of laws kitab undang-undang. -kkt. memakai kata-kata sandi, menyandi.
codein(e)	kb. kodein.
codex	kb. (j. -dices). naskah kuno.
codfish	kb. sejenis ikan laut yang menghasilkan minyak ikan.
codger	kb. orang yang aneh sifatnya.
codices	lih codex.
codicil	kb. ketentuan tambahan.
codification	kb. kodifikasi, penyusunan (undang-undang dsb.) menurut sesuatu sistem.
codify	codify
codirector	kb. sesama direktur, direktur bersama.
coed	kb. inf.: mahasiswi.
coeducation	kb. pendidikan bersama (bagi pria dan wanita).
coeducational	ks. mengenai pendidikan bersama bagi pria dan wanita. c. institution universitas yang dikunjungi oleh mahasiswa-mahasiswa dan mahasiswi-mahasiswi, perguruan tinggi dengan murid pria dan wanita.
coefficient	kb. koefisien.
coequal	kb., ks. sesama, sama pangkat/ kedudukan.
coerce	kkt. memaksa. the board must not be coerced into passing this ordinance dewan itu jangan dipaksa menerima peraturan ini.
coercion	kb. (penggunaan) paksaan, kekerasan.
coeval	ks. sama usia/tua, sezaman, sebaya.
coexist	kki. hidup bersama, berdampingan. the two nations have coexisted for centuries kedua bangsa itu telah hidup bersama selama berabad-abad.
coexistence	kb. hidup berdampingan. peaceful c. hidup berdampingan secara damai.
coffee	kb. kopi. black c. kopi hitam/pahit. c. cup mangkok/cangkir kopi. ground c. kopi bubuk.
coffer	kb. peti simpanan.
cofferdam	kb. ruangan di air yang dikeringkan untuk pembangunan dasar jembatan.
coffin	kb. peti mayat/jenazah, petimati.
cofounder	kb. peserta/pesero, pendiri, kawan-pendiri.
cog	kb. 1 roda penggerak, gigi roda bergigi. 2 tenaga penggerak. to slip a c. membuat kekhilafan.
cogency	kb. daya meyakinkan. the c. of his argument was impressive daya meyakinkan daripada alasan-alasannya mengagumkan.
