jentik	jentik-jentik mosquito larva.
julang	men-julang 1 soar, tower. 2 carry on the shoulder. 3 hold in high esteem, esteem highly.
julat	(lit.) range, reach. se-julat-mata as far as the eye can see.
juli	july.
julig	(java) cunning, sly (in negative sense).
juling	cross-eyed. men-juling-i steal a glance at, glance at a bit.
julir	harpoorr.
julita	see jelita.
julo	lottery played by neighborhood wives at monthly get-together. ber-julo play julo.
julu	ber-julu-an stretch out (in all directions). men-julu extend, stick out (of tongue, etc.). julu-an 1 stick, stave, bar. 2 line, row.
juluk	named, called. juluk-an sobriquet, nickname.
julung	1. (java) fated to be unlucky. 2. for the first time.
julung-julung	see ikan.
julur	stick out (of several things).
jumaah	/juma'ah/see jemaah.
jumaat	/juma'at/ see jumat, jum'at.
jumadilakhir	the 6th month of the arabic calendar.
jumadilawal	the 5th month of the arabic calendar.
jumantara	firmament, outer or upper atmosphere.
jumanten	emerald.
jumat	see jemaah.
jumbai	tassle, fringe. se-jumbai a bunch of s.t. that hangs down. ber-(jumbai-jumbai) 1 tassled, fringed. 2 frayed. 3 flutter.
jumblah	see jumlah.
jumblang	cesspool, septic tank.
jumbuh	similar, edentical.men-jumbuh-kan make s.t. compatible. ke-jumbuh-an identity.
jumlah	1 sum, amount, total. 2 number, quantity. 3 (ling.) number. men-jumlah-kan add or count up. men-jumlah-kan adding, totaling.
jumpa	meet.
jumpalit	ber-jumpalit turn a somersault.
jumplang	unbalanced, unequal.
jumpluk	pile. se-jumpluk a pile of.
jumpul	k.o. mullet.
jumput	a pinch of s.t.
jumud	1 stiff, rigid, unbending. 2 old-fashioned, resistant to change.
junam	men-junam 1 dive (of planem bird). 2 attack in flight.
juncto	/yungkto/ (leg.) in connection with.
jung	k.o. boat, china junk.
jungat	men-jungat tilt upward (of boat, cart, etc.).
jungkal	men-jungkal-kan 1 overturn s.t. 2 overthrow, bring down (a regime, etc.). ter-jungkal tumble forward.
jungkang	jungkang-jungkit bob up and down.
jungkar	men-jungkar project, protrude.
jungkat	jungkat-jungkit bob up and down. men-jungkat slant, tilt. jungkat-an seesaw.
jungkel,jungkil	see jungkal.
jungkir	jungkir-balik 1 upside-down, topsy-turvy. 2 turn a somersault. 3 be in a dither. men-jungkir flip over.
jungkit	see jungkang.
jungkrak	men-jungkrak raze (a building). men-jungkrak-an push s.t. aside.
jungkung	see jongkong.
jungur	1 snout, sword (of swordfish). 2 (navy) bow.
jungut	mountain spur.
juni	june.
junjung	ber-junjung-an have a husband .
junjungan	1 o. who is esteemed. 2 adoration. 3 pole for climbing plants. 4 (formal) o,'s husband.
junta	junta.
juntai	ber-, men-, ter- dangle.
juntrung	organized, orderly.
juntrungn	1 organization, unit. 2 purpose, aim.
junub	(islam) ritual impure or soiled (after coitus, giving birth, menstruation, etc.)
junun	possessed by a devil.
jup	(sl.) yep !
jura	men-jura how out of respect.
