penyedotan	suction.
penyejuk	cooler.
penyek	/penyet/ flattened out, squeezed flat.
penyelaman	1 diving. 2 immersion, submersion.
penyelamatan	rescuing, redemption.
penyelenggara	1 caretaker. 2 executor. 3 organized, operator.
penyelenggaraan	1. implementation. 2 organization, coordination.
penyelesaian	1 arrangement. 2 solution, settlement, completion.
penyeleweng	crook.
penyelewengan	1 deviation (from task or duty). 2 irregularity, corruption.
penyelidik	1 investigator, research worker. 2 examiner, detective. 3 scout.
penyelidikan	1 research. 2 inquiry, investigation. 2 survey.
penyeling	alternative.
penyelundup	smuggler.
penyelundupan	smugling.
penyelusup	1 infiltrator. 2 s.t. that infiltrates.
penyelusupan	penetration.
penyemaian	process of raising seedlings.
penyematan	1 pinning (of medals, etc.). 2 (ling.) embedding.
penyembah	worshipper.
penyembahan	adoraditon , worship.
penyembelih	a butcher.
penyembelihan	slaughter, butchering.
penyembuhan	healing.
penyembur	instrument for spraying.
penyempitan	constriction, stricture.
penyemprot	syringe, sprayer.
penyemprotan	spraying.
penyempurnaan	action of perfecting, completing, finishing (articles, products).
penyendiri	solitary, liking to be alone, loner.
penyendirian	isolation.
penyengat	1 s.t. that stings. 2 wasp.
penyepuhan	1 gilding s.t. 2 (phys.) plating.
penyerahan	1 transfer, deliverry. 2 surrender, yielding. 3 resignation to a situation.
penyerang	attacker, aggressor.
penyerangan	attack, aggression.
penyerap	1 absorbent. 2 absorber.
penyerapkan	hold in reserve, lay aside.
penyerasian	adaptation, harmonization.
penyerbakan	smelling good.
